year_month,forecast_date,region,model,forecast_units,forecast_units_lower,forecast_units_upper,projected_revenue,projected_revenue_lower,projected_revenue_upper
2025-01,2025-01-01,PL-Central,Prophet,39483.546344880124,39201.05234846628,39789.63744772061,207320.64046283075,205837.31787189996,208927.86700035003
2025-02,2025-02-01,PL-Central,Prophet,34189.586563072175,33392.90307071797,35067.59828166408,179523.05807339546,175339.82360812416,184133.33168565796
2025-03,2025-03-01,PL-Central,Prophet,43843.6677087012,41817.792274107334,46069.24171912461,230214.81379131827,219577.32472361255,241900.8823427123
2025-01,2025-01-01,PL-North,Prophet,36278.85526800855,36022.898259016794,36557.59551453652,190493.41322394097,189149.43133914247,191957.02558358505
2025-02,2025-02-01,PL-North,Prophet,32351.458008738668,31651.42862107657,33159.9077295105,169871.3923945131,166195.67036779277,174116.40910168504
2025-03,2025-03-01,PL-North,Prophet,42390.65714079979,40505.66372727697,44329.71832230311,222585.32988160753,212687.58568339815,232766.97371203845
2025-01,2025-01-01,PL-South,Prophet,40101.46301578534,39808.77761016875,40372.90821198075,210565.20413109256,209028.36837635736,211990.51156002082
2025-02,2025-02-01,PL-South,Prophet,38635.44498563169,37764.98851711014,39452.50980335471,202867.4204951775,198296.81807328278,207157.67344840412
2025-03,2025-03-01,PL-South,Prophet,48085.32272530464,46047.93840433831,50169.09185163694,252486.94271771688,241789.02266255848,263428.420620294
